"Departamento","demanda","Cultivo"
"Antioquia",1447308,"Banana"
"Atlántico",21600,"Banana"
"Boyacá",39150,"Banana"
"Caldas",2700,"Banana"
"Caquetá",35100,"Banana"
"Casanare",54000,"Banana"
"Cauca",617220,"Banana"
"Cesar",810000,"Banana"
"Chocó",2700,"Banana"
"Cundinamarca",1219320,"Banana"
"Huila",1012500,"Banana"
"La.Guajira",2700,"Banana"
"Magdalena",2700,"Banana"
"Meta",37800,"Banana"
"Nariño",3419550,"Banana"
"Norte.de.Santander",1051650,"Banana"
"Putumayo",623700,"Banana"
"Quindío",943380,"Banana"
"Risaralda",872640,"Banana"
"San.Andrés.y.Providencia",432,"Banana"
"Santander",810000,"Banana"
"Tolima",1291923,"Banana"
"Valle.del.Cauca",973647.000000002,"Banana"
"Vaupés",22680,"Banana"
